File,Time,Treatment,area 1,area 2,area 3,area 4,area 5,area 6,area 7,area 8,area 9,AverageArea,CombinedAverage,StDev,Date
1954,180,Ctrl,2364,2342,2579,2461,2910,2190,2200,2405,2119,2396.666667,,,10/30/19
1955,180,Ctrl,2266,2046,2340,2375,2785,2141,2540,2535,2524,2394.666667,,,10/30/19
1956,180,Ctrl,2466,2212,2217,1948,2078,1863,3204,2311,2141,2271.111111,2354.148148,71.91913612,10/30/19
1957,180,Y,3308,2127,2560,2546,3363,3268,2824,3711,2945,2961.333333,,,10/30/19
1958,180,Y,2827,3153,3111,2323,4029,2071,2564,3146,3158,2931.333333,,,10/30/19
1959,180,Y,2396,2399,2672,3496,2755,3103,2659,5230,3692,3155.777778,3016.148148,121.8496003,10/30/19
1966,WO 120,Y WO,1897,2225,2882,2466,3295,2294,3108,3889,3336,2821.333333,,,10/30/19
1967,WO 120,Y WO,1945,2406,2137,3157,2226,2975,2628,3006,2087,2507.444444,,,10/30/19
1968,WO 120,Y WO,3244,2703,2562,2420,1820,2684,2476,2223,2900,2559.111111,2629.296296,168.3033832,10/30/19
1603,180,Ctrl,2338,1959,2443,3601,2282,2462,2332,1899,2472,2420.888889,,,4/22/19
1604,180,Ctrl,2457,2008,2099,2042,2047,2207,3628,2087,4676,2583.444444,,,4/22/19
1605,180,Ctrl,2329,2143,2207,2417,2280,2444,3925,1942,1966,2405.888889,2470.074074,98.46766301,4/22/19
1606,180,Y,3493,3127,2742,2672,2773,2900,3329,2131,2198,2818.333333,,,4/22/19
1607,180,Y,2745,2581,2920,2402,2767,2552,2910,2546,,2677.875,,,4/22/19
1608,180,Y,3414,2739,3285,2793,3049,2869,2192,3074,2699,2901.555556,2799.25463,113.0541704,4/22/19
1648,WO 90,Y WO,1858,2016,3898,2161,2742,,,,,2535,,,4/22/19
1649,WO 90,Y WO,2314,2718,2082,2296,3972,3122,2450,3690,,2830.5,,,4/22/19
1650,WO 90,Y WO,1862,3824,3277,3388,2500,2605,2106,2898,,2807.5,2724.333333,164.3702629,4/22/19
1016,180,Ctrl,4047,2114,1954,1881,2315,2383,2132,2457,,2410.375,,,11/19/18
1017,180,Ctrl,1884,1848,2542,2078,2715,2124,2330,2246,2078,2205,,,11/19/18
1018,180,Ctrl,2062,2191,2057,2125,2868,1865,1874,2860,2231,2237,2284.125,110.5002121,11/19/18
1025,180,Y,2426,4227,3207,3423,3730,3020,3441,3267,2839,3286.666667,,,11/19/18
1026,180,Y,3245,2894,2743,3027,2795,2472,2604,3231,2213,2802.666667,,,11/19/18
1027,180,Y,2685,2603,3071,3224,2733,3292,3442,3248,3213,3056.777778,3048.703704,242.1009975,11/19/18
1028,180,Blebb,4050,3499,4630,2676,2812,3620,4704,4138,5832,3995.666667,,,11/19/18
1029,180,Blebb,2583,4430,5018,4449,2701,3348,5216,3468,5665,4097.555556,,,11/19/18
1030,180,Blebb,5869,4846,4856,4501,4205,3668,4329,4412,3036,4413.555556,4168.925926,217.8946493,11/19/18
880,180,Ctrl,2011,2036,2428,2216,2359,3324,2236,2058,2728,2377.333333,,,11/5/18
881,180,Ctrl,2425,2448,2156,2053,3181,2223,2246,2198,2397,2369.666667,,,11/5/18
882,180,Ctrl,1949,2240,2542,3056,2321,2149,2485,2510,2371,2402.555556,2383.185185,17.20764018,11/5/18
883,180,Blebb,4119,3256,4069,3988,4031,3902,3698,3486,,3818.625,,,11/5/18
884,180,Blebb,4385,2505,4823,3163,3736,3906,3779,4293,5064,3961.555556,,,11/5/18
885,180,Blebb,4653,5829,4262,3996,3795,3515,5252,3504,4260,4340.666667,4040.282407,269.778267,11/5/18
900,WO 180,WO Blebb,1989,2429,2093,2192,2291,2323,2639,1815,1989,2195.555556,,,11/5/18
901,WO 180,WO Blebb,1885,2698,2245,2521,2027,2048,2196,2361,2006,2220.777778,,,11/5/18
902,WO 180,WO Blebb,2175,1846,2148,2412,2438,1971,2205,1812,2195,2133.555556,2183.296296,44.88480913,11/5/18
1509,180,Ctrl,1968,2820,2390,1737,2255,1955,3485,,,2372.857143,,,4/3/19
1510,180,Ctrl,3101,3956,1774,3218,2884,3232,3436,,,3085.857143,2729.357143,504.167135,4/3/19
1505,180,Blebb,4260,4308,5120,4404,4340,3656,3771,5258,3589,4300.666667,,,4/3/19
1506,180,Blebb,3867,3798,4272,4394,3872,4917,5136,3596,4684,4281.777778,4291.222222,13.35646142,4/3/19
1507,WO 90,WO Blebb,1994,1859,2920,2280,2098,2202,2063,3837,,2406.625,,,4/3/19
1508,WO 90,WO Blebb,2125,2887,3121,3722,3193,2824,3460,5291,,3327.875,2867.25,651.4221222,4/3/19
2193,240,Ctrl,2155,2457,3223,2334,1975,2617,2003,4279,2347,2598.888889,,,12/9/19
2194,240,Ctrl,2887,2459,2427,2544,2009,2459,2211,1736,3041,2419.222222,,,12/9/19
2207,240,Ctrl,2414,2363,1774,2757,2416,2679,2807,2470,,2460,2492.703704,94.19223405,12/9/19
2195,240,Blebb,3900,3240,4367,3132,4245,5196,4419,4154,4042,4077.222222,,,12/9/19
2196,240,Blebb,4774,3540,3275,3443,3348,4453,3480,3366,3763,3715.777778,,,12/9/19
2206,240,Blebb,3383,4001,5118,3762,3590,3597,2543,3699,3399,3676.888889,3823.296296,220.7642822,12/9/19
2202,WO 210,WO Blebb,1930,2152,2131,1866,1943,1814,2450,1785,2613,2076,,,12/9/19
2203,WO 210,WO Blebb,1999,1589,2893,2482,2727,2928,3258,1971,,2480.875,,,12/9/19
2204,WO 210,WO Blebb,2314,2591,2091,1754,2200,1653,2999,2420,5113,2570.555556,2375.810185,263.4867376,12/9/19
